종목코드,종목명,시장구분,종가,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
54050,농우바이오,KOSDAQ,8650,8620,8690,8600,12609,109052760,138664352650,16030561
69140,누리플랜,KOSDAQ,5860,5160,6230,5020,1307501,7512782870,41622073980,7102743
40160,누리플렉스,KOSDAQ,6390,6350,6460,6290,96069,612883660,77034868650,12055535
332290,누보,KOSDAQ,2055,2000,2270,1934,7093359,15007397700,67982118765,33081323
348340,뉴로메카,KOSDAQ,33950,33750,34600,33400,330412,11207263200,354430191500,10439770
60260,뉴보텍,KOSDAQ,918,928,939,916,157660,146513712,38152121310,41560045
12340,뉴인텍,KOSDAQ,2665,2620,2690,2585,185791,491638290,80235586730,30107162
214870,뉴지랩파마,KOSDAQ,1383,0,0,0,0,0,45813404598,33126106
270870,뉴트리,KOSDAQ,8390,8340,8390,8310,2286,19059850,77189879360,9200224
144960,뉴파워프라즈마,KOSDAQ,4830,4765,4830,4730,29349,140492645,211035373920,43692624
85670,뉴프렉스,KOSDAQ,6890,6950,7090,6860,560273,3932417960,168465743290,24450761
64260,다날,KOSDAQ,4230,4140,4250,4125,254714,1071957440,291654439200,68949040
340360,다보링크,KOSDAQ,811,803,817,800,49094,39483454,34682544760,42765160
39560,다산네트웍스,KOSDAQ,3470,3490,3490,3430,29345,101491905,137085754070,39505981
154040,다산솔루에타,KOSDAQ,2590,2615,2615,2520,202247,518155700,39663645910,15314149
58730,다스코,KOSPI,4430,4375,4465,4360,33967,150038840,85928448630,19396941
30210,다올투자증권,KOSPI,4145,3970,4160,3970,489898,2004765840,252476534370,60911106
23590,다우기술,KOSPI,18540,18600,18760,18350,36013,665915720,831827079180,44866617
32190,다우데이타,KOSDAQ,15570,15320,15730,15090,307115,4757520470,596331000000,38300000
323350,다원넥스뷰,KONEX,39100,39100,39100,39100,4,156400,35874250000,917500
68240,다원시스,KOSDAQ,14090,13980,14150,13810,107530,1502873610,482771827330,34263437
145210,다이나믹디자인,KOSPI,9640,8590,9670,8540,13155454,1.19068E+11,164751253560,17090379
19680,대교,KOSPI,2785,2775,2805,2735,12394,34504100,235897437250,84702850
19685,대교우B,KOSPI,1697,1700,1780,1655,16093,27363196,32967602030,19426990
6370,대구백화점,KOSPI,9390,9390,9620,9350,4094,38429790,101614927290,10821611
8060,대덕,KOSPI,6380,6380,6390,6340,13473,85689000,216219157000,33890150
00806K,대덕1우,KOSPI,9350,9250,9450,9100,239,2199720,11335537950,1212357
353200,대덕전자,KOSPI,20200,19900,20250,19900,155468,3120301820,998221885000,49416925
35320K,대덕전자1우,KOSPI,9980,9970,10060,9950,4296,42873180,20913279620,2095519
490,대동,KOSPI,11790,11300,11890,11300,703375,8237643090,282162453660,23932354
178600,대동고려삼,KONEX,3450,3490,3490,2860,4,13275,15351120000,4449600
20400,대동금속,KOSDAQ,9370,9290,9420,9190,30272,281731700,29882485420,3189166
8830,대동기어,KOSDAQ,6460,6380,6580,6320,20133,130691300,58059379200,8987520
48470,대동스틸,KOSDAQ,4195,4190,4265,4075,79374,332882325,41950000000,10000000
8110,대동전자,KOSPI,8290,8150,8340,8100,6424,52642090,86965805630,10490447
4780,대륙제관,KOSDAQ,4430,4415,4455,4380,12809,56705320,70451171570,15903199
5750,대림B&Co,KOSPI,3410,3350,3410,3340,4297,14414990,56852338400,16672240
